UnixTime*1000,NrFinished,NrQueued,VMNum,UsedCores,OnPMs,CentralRepoTX
125702000,19676,19,18,51,17,1946400000000
126002000,19751,0,15,35,12,1953500000000
126302000,19785,5,2,4,5,1955600000000
126602000,19789,26,0,0,12,1955600000000
126902000,19818,23,30,68,22,1961500000000
127202000,19920,9,21,66,19,1970800000000
127502000,19978,6,16,40,13,1975993750000
127802000,20025,1,18,45,14,1981000000000
128102000,20079,0,12,32,9,1985800000000
128402000,20110,5,17,50,15,1989400000000
128702000,20166,2,21,51,18,1995400000000
129002000,20209,9,5,11,4,1998100000000
129302000,20216,27,16,55,15,1999098750000
129602000,20273,15,30,68,29,2006800000000
129902000,20361,3,9,24,8,2013500000000
130202000,20386,16,8,22,12,2015900000000
130502000,20445,5,17,57,18,2022700000000
130802000,20476,14,13,39,13,2025200000000
131102000,20545,1,25,59,19,2031441250000
131402000,20598,6,3,4,2,2036400000000
131702000,20602,28,0,0,8,2036400000000
132002000,20637,14,30,79,28,2042900000000
132302000,20747,0,5,15,5,2051300000000
132602000,20753,19,8,29,11,2052100000000
132902000,20813,2,27,64,20,2059796250000
133202000,20857,13,0,0,13,2061700000000
133502000,20930,0,5,5,3,2069500000000
133802000,20938,13,0,0,9,2069700000000
134102000,20959,22,20,68,21,2073800000000
134402000,21038,7,20,51,30,2081700000000
134702000,21086,8,1,2,3,2084500000000
135002000,21088,27,10,30,10,2085500000000
135302000,21134,20,27,61,22,2091800000000
135602000,21223,0,34,86,29,2101400000000
135902000,21269,12,2,2,6,2102800000000
136202000,21288,20,20,54,18,2106500000000
136502000,21379,3,3,5,3,2113900000000
136802000,21380,21,2,4,9,2113900000000
137102000,21405,21,30,66,21,2119000000000
137402000,21516,0,21,64,22,2129200000000
137702000,21541,17,0,0,8,2129500000000
138002000,21563,20,25,60,20,2134200000000
138302000,21653,2,24,69,27,2143100000000
138602000,21693,17,0,0,6,2144700000000
138902000,21712,23,19,43,15,2148500000000
139202000,21805,1,15,30,12,2157400000000
139502000,21864,0,1,1,1,2161800000000
139802000,21865,23,0,0,8,2161800000000
140102000,21887,35,15,39,17,2165500000000
140402000,21966,14,30,72,27,2174900000000
140702000,22057,4,11,33,12,2182100000000
141002000,22094,7,11,28,17,2185800000000
141302000,22160,0,11,24,9,2192300000000
141602000,22192,2,16,32,12,2195900000000
141902000,22225,16,7,17,17,2198300000000
142202000,22299,0,23,58,20,2207300000000
142502000,22329,12,1,2,6,2208100000000
142802000,22345,18,13,27,14,2210800000000
143102000,22410,0,40,98,32,2220000000000
143402000,22485,1,7,10,12,2224200000000
143702000,22510,12,12,30,17,2226900000000
144002000,22581,8,1,2,11,2232900000000
144302000,22618,6,17,38,11,2238100000000
144602000,22673,1,17,38,15,2243600000000
144902000,22690,12,15,43,17,2245100000000
145202000,22765,0,18,47,15,2252900000000
145502000,22788,14,2,4,7,2253600000000
145802000,22810,23,11,18,18,2256097500000
146102000,22889,0,34,68,23,2266699999999
146402000,22948,7,18,54,19,2270999999999
146702000,22997,6,1,2,4,2274099999999
147002000,23007,21,14,34,12,2276299999999
147302000,23075,5,32,78,29,2284899999999
147602000,23130,9,1,2,7,2287199999999
147902000,23132,24,15,43,16,2288698749999
148202000,23208,6,32,87,28,2297647499999
148502000,23276,8,9,27,9,2302399999999
148802000,23300,0,0,0,0,2303899999999
